vp,n_sessions,prepost,PRL,OPP
vp1,vier,pre,0.463853659,0.474829268
vp1,vier,post,0.18295122,0.236261905
vp2,vier,pre,0.515346939,0.64104
vp2,vier,post,0.238714286,0.19802439
vp3,vier,pre,0.48442,0.497897959
vp3,vier,post,0.244761905,0.238463415
vp4,vier,pre,0.91572,1.08354
vp4,vier,post,0.667979592,0.73092
vp5,vier,pre,0.51442,0.502
vp5,vier,post,0.269409091,0.31075
vp6,vier,pre,0.870734694,0.85936
vp6,vier,post,0.397804878,0.361928571
vp7,vier,pre,0.356166667,0.39358
vp7,vier,post,0.262475,0.210619048
vp8,vier,pre,0.447707317,0.45685
vp8,vier,post,0.225195122,0.274619048
vp9,vier,pre,0.98668,0.928959184
vp9,vier,post,0.309309524,0.336853659
vp10,vier,pre,0.709851064,0.68282
vp10,vier,post,0.314619048,0.215380952
vp11,vier,pre,0.506895833,0.474163265
vp11,vier,post,0.316020408,0.384
vp12,vier,pre,0.452642857,0.449309524
vp12,vier,post,0.189952381,0.148857143
vp13,vier,pre,0.392690476,0.484414634
vp13,vier,post,0.20104878,0.270261905
vp14,acht,pre,0.6773125,0.825304348
vp14,acht,post,0.34686,0.3626
vp15,acht,pre,0.38286,0.29464
vp15,acht,post,0.165902439,0.198119048
vp16,acht,pre,0.531729167,0.506854167
vp16,acht,post,0.309234043,0.301297872
vp17,acht,pre,0.570122449,0.60378
vp17,acht,post,0.201595238,0.172238095
vp18,acht,pre,1.19002439,0.994404762
vp18,acht,post,0.462439024,0.587463415
vp19,acht,pre,0.39013253,0.356675
vp19,acht,post,0.161047619,0.18504878
vp20,acht,pre,0.736479167,0.77982
vp20,acht,post,0.389463415,0.41047619
vp21,acht,pre,0.996707317,0.589711111
vp21,acht,post,0.470809524,0.477439024
vp22,acht,pre,1.125645833,1.086854167
vp22,acht,post,0.371857143,0.38
vp23,acht,pre,0.60438,0.537
vp23,acht,post,0.325780488,0.300095238
vp24,acht,pre,0.860106383,0.778717391
vp24,acht,post,0.442487805,0.325952381
vp25,acht,pre,0.927020833,0.708510204
vp25,acht,post,0.49802439,0.480761905
vp26,acht,pre,0.980439024,0.902627907
vp26,acht,post,0.34697619,0.363926829
